scenario,year,capex_required_usd,capex_available_usd,capex_coverage_ratio
base_input_case,2024,,210000000000.0,
base_input_case,2025,390881812584.07416,350000000000.00055,1.1168051788116387
base_input_case,2026,602418699221.9324,500000000000.00037,1.2048373984438638
base_input_case,2027,838023979051.4443,658037006476.2463,1.27352104943006
base_input_case,2028,1165246481999.2026,866025403784.4382,1.3455107401090087
base_input_case,2029,1475159364660.1047,1139753528477.3877,1.2942792698617833
base_input_case,2030,2006250000000.0005,1499999999999.9976,1.3375000000000026
base_input_case,2031,2030566499977.2646,1607660193804.4385,1.2630570239921421
base_input_case,2032,2045009310443.528,1723047532495.5527,1.1868560047682877
base_input_case,2033,2004038405102.8198,1846716620017.3699,1.0851899979564652
base_input_case,2034,1879815017002.5771,1979261866159.3384,0.949755587748612
base_input_case,2035,1632441134301.02,2121320343559.641,0.769540130634741
base_input_case,2036,1751527129057.433,2273574849765.5977,0.7703846342415395
base_input_case,2037,1879271728535.0474,2436757189068.7095,0.7712182965809883
base_input_case,2038,2016302631427.4102,2611651689888.368,0.7720411719656209
base_input_case,2039,2163292920108.1182,2799098974610.4204,0.772853314488176
base_input_case,2040,2320964334067.3047,3000000000000.001,0.7736547780224347
capex_rich,2024,,249999999999.99973,
capex_rich,2025,410927033742.23145,500000000000.00037,0.8218540674844623
capex_rich,2026,700043863917.9753,750000000000.0,0.9333918185573005
capex_rich,2027,1155216965528.9043,1060660171779.8224,1.0891490000896447
capex_rich,2028,1759794700404.9358,1500000000000.003,1.1731964669366215
capex_rich,2029,2856717394983.8145,2121320343559.641,1.3466694946177504
capex_rich,2030,4692000000000.007,3000000000000.001,1.5640000000000018
capex_rich,2031,4639039622588.334,3309162757266.2153,1.4018771401926342
capex_rich,2032,4370347540891.228,3650186051359.2334,1.1972944609943446
capex_rich,2033,3727516213448.5083,4026353246083.5327,0.9257797281135962
capex_rich,2034,2442324701341.656,4441286069845.837,0.5499138454340619
capex_rich,2035,2574104887247.689,4898979485566.359,0.5254369598467716
capex_rich,2036,2712807116479.9863,5403840154082.466,0.5020146856917166
capex_rich,2037,2858787859055.3374,5960728861369.785,0.4796037406738181
capex_rich,2038,3012421665587.759,6575007318068.914,0.45816248102253215
capex_rich,2039,3174102073388.684,7252589781902.13,0.4376508487091373
capex_rich,2040,3344242557535.137,8000000000000.009,0.4180303196918917
chip_bottleneck,2024,,210000000000.0,
chip_bottleneck,2025,364429064512.2395,350000000000.00055,1.041225898606397
chip_bottleneck,2026,482701667620.207,500000000000.00037,0.9654033352404132
chip_bottleneck,2027,593463828292.313,658037006476.2463,0.9018699897598171
chip_bottleneck,2028,729311499744.3921,866025403784.4382,0.8421363814010293
chip_bottleneck,2029,895866573485.9994,1139753528477.3877,0.7860178109584796
chip_bottleneck,2030,907499999999.9988,1499999999999.9976,0.6050000000000002
chip_bottleneck,2031,948660635969.6215,1607660193804.4385,0.5900877807546312
chip_bottleneck,2032,982077237967.6304,1723047532495.5527,0.5699652618086815
chip_bottleneck,2033,1031020148533.5331,1846716620017.3699,0.5582990575586174
chip_bottleneck,2034,1072197825203.6766,1979261866159.3384,0.5417160020792118
chip_bottleneck,2035,1101658363219.08,2121320343559.641,0.5193267327887231
chip_bottleneck,2036,1114265404924.0576,2273574849765.5977,0.49009400549928533
chip_bottleneck,2037,1228169589363.4795,2436757189068.7095,0.5040180428616553
chip_bottleneck,2038,1353696970195.0212,2611651689888.368,0.5183298276091646
chip_bottleneck,2039,1492031697541.5781,2799098974610.4204,0.5330399928960139
chip_bottleneck,2040,1644478379840.843,3000000000000.001,0.5481594599469475
power_datacenter_bottleneck,2024,,210000000000.0,
power_datacenter_bottleneck,2025,448790229263.1963,350000000000.00055,1.2822577978948446
power_datacenter_bottleneck,2026,698456462866.0084,500000000000.00037,1.3969129257320159
power_datacenter_bottleneck,2027,980666358464.456,658037006476.2463,1.4902905897585805
power_datacenter_bottleneck,2028,1375638207915.7256,866025403784.4382,1.5884501792953578
power_datacenter_bottleneck,2029,1928019101933.2117,1139753528477.3877,1.69161055768687
power_datacenter_bottleneck,2030,2542500000000.001,1499999999999.9976,1.6950000000000034
power_datacenter_bottleneck,2031,2632042780784.59,1607660193804.4385,1.6371884997388702
power_datacenter_bottleneck,2032,2694497039417.5063,1723047532495.5527,1.5637972769764323
power_datacenter_bottleneck,2033,2748138674108.981,1846716620017.3699,1.4881214823761821
power_datacenter_bottleneck,2034,2741673968941.8965,1979261866159.3384,1.3852002182318512
power_datacenter_bottleneck,2035,2643321244413.097,2121320343559.641,1.2460735845193105
power_datacenter_bottleneck,2036,2407331834338.851,2273574849765.5977,1.0588311330885118
power_datacenter_bottleneck,2037,2589348863283.925,2436757189068.7095,1.0626207957443365
power_datacenter_bottleneck,2038,2785015107622.681,2611651689888.368,1.0663807575893565
power_datacenter_bottleneck,2039,2995347038744.081,2799098974610.4204,1.070111155737526
power_datacenter_bottleneck,2040,3221436380299.3457,3000000000000.001,1.0738121267664482
